Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers,def_st_td,first_downs
49ers,13,3,0,0.8125,380,2044,2930,4974,10,4,282
Bears,8,8,0,0.5,353,2015,3011,5026,29,16,271
Bengals,9,7,0,0.5625,344,1778,3340,5118,22,7,285
Bills,6,10,0,0.375,372,1921,3703,5624,30,13,313
Broncos,8,8,0,0.5,309,2632,2434,5066,30,8,286
Browns,4,12,0,0.25,218,1531,3090,4621,19,1,278
Buccaneers,4,11,0,0.266666666666667,263,1423,3391,4814,36,6,259
Cardinals,8,8,0,0.5,312,1625,3567,5192,32,4,286
Chargers,8,8,0,0.5,406,1864,4426,6290,28,5,359
Chiefs,7,9,0,0.4375,212,1893,3080,4973,28,4,277
Colts,2,14,0,0.125,243,1594,2995,4589,29,6,258
Cowboys,8,8,0,0.5,369,1807,4201,6008,21,2,327
Dolphins,6,10,0,0.375,329,1987,3091,5078,25,3,287
Eagles,8,8,0,0.5,396,2276,4110,6386,38,8,356
Falcons,9,6,0,0.6,357,1583,4015,5598,19,4,327
Giants,9,7,0,0.5625,394,1427,4734,6161,24,2,331
Jaguars,5,11,0,0.3125,243,1970,2179,4149,23,6,251
Jets,8,8,0,0.5,377,1692,3297,4989,34,7,301
Lions,10,6,0,0.625,474,1523,4814,6337,23,14,349
Packers,15,1,0,0.9375,560,1558,4924,6482,14,12,353
Panthers,6,10,0,0.375,406,2408,3829,6237,23,1,345
Patriots,13,3,0,0.8125,513,1764,5084,6848,17,7,399
Raiders,8,8,0,0.5,359,2110,3962,6072,30,3,328
Rams,2,14,0,0.125,193,1667,2870,4537,23,3,267
Ravens,12,4,0,0.75,378,1996,3423,5419,24,9,312
Saints,13,3,0,0.8125,547,2127,5347,7474,19,7,416
Seahawks,7,9,0,0.4375,321,1756,3105,4861,23,9,265
Steelers,12,4,0,0.75,325,1903,4054,5957,28,3,341
Texans,10,6,0,0.625,381,2448,3506,5954,20,4,321
Titans,9,7,0,0.5625,325,1438,3923,5361,22,5,281
Vikings,3,13,0,0.1875,340,2318,2957,5275,26,1,297
Washington,5,11,0,0.3125,288,1614,3773,5387,35,2,312
