Teams,Wins,Loses,Ties,win_percent,total_points,total_rushing_yards,total_passing_yards,total_yards,total_turnovers
49ers,2,14,0,0.125,309,2019,2911,4930,25
Bears,3,13,0,0.1875,279,1735,3969,5704,31
Bengals,6,9,0,0.4,325,1769,3942,5711,17
Bills,7,9,0,0.4375,399,2630,3036,5666,12
Broncos,9,7,0,0.5625,333,1484,3685,5169,25
Browns,1,15,0,0.0625,264,1712,3264,4976,25
Buccaneers,9,7,0,0.5625,354,1616,3926,5542,27
Cardinals,7,8,0,0.466666666666667,418,1732,4136,5868,28
Chargers,5,11,0,0.3125,410,1510,4198,5708,35
Chiefs,12,5,0,0.705882352941177,405,1809,3906,5715,19
Colts,8,8,0,0.5,411,1628,4202,5830,22
Cowboys,13,4,0,0.764705882352941,452,2534,3922,6456,16
Dolphins,10,7,0,0.588235294117647,375,1876,3753,5629,26
Eagles,7,9,0,0.4375,367,1813,3585,5398,20
Falcons,13,6,0,0.68421052631579,648,2232,5680,7912,12
Giants,11,6,0,0.647058823529412,323,1482,4174,5656,29
Jaguars,3,13,0,0.1875,318,1631,3728,5359,29
Jets,5,11,0,0.3125,275,1802,3466,5268,34
Lions,9,8,0,0.529411764705882,352,1359,4293,5652,15
Packers,12,7,0,0.631578947368421,525,1962,5124,7086,20
Panthers,6,10,0,0.375,369,1814,3685,5499,29
Patriots,17,2,0,0.894736842105263,545,2131,5403,7534,16
Raiders,12,5,0,0.705882352941177,430,1986,4190,6176,17
Rams,4,12,0,0.25,224,1252,2951,4203,29
Ravens,8,8,0,0.5,343,1463,4100,5563,23
Saints,7,9,0,0.4375,469,1742,5074,6816,24
Seahawks,11,6,0,0.647058823529412,400,1869,4542,6411,20
Steelers,13,6,0,0.68421052631579,464,2164,4922,7086,23
Texans,10,8,0,0.555555555555556,322,2087,3524,5611,27
Titans,9,7,0,0.5625,381,2187,3541,5728,18
Vikings,8,8,0,0.5,327,1205,3836,5041,16
Washington,8,7,0,0.533333333333333,396,1696,4758,6454,21
